year,count,count_domain,category
2025,12987,269988,Materials Science
2024,9484,249237,Materials Science
2023,7715,235975,Materials Science
2022,6354,234802,Materials Science
2021,4354,231200,Materials Science
2020,2659,203940,Materials Science
2019,1493,194238,Materials Science
2018,580,166771,Materials Science
2017,294,153571,Materials Science
2016,158,140025,Materials Science
2015,136,132570,Materials Science
2014,85,124722,Materials Science
2013,70,114230,Materials Science
2012,41,104715,Materials Science
2011,45,101442,Materials Science
2010,52,91652,Materials Science
2009,60,89826,Materials Science
2008,39,85881,Materials Science
2007,34,79471,Materials Science
2006,43,75269,Materials Science
2005,34,71462,Materials Science
2004,27,66860,Materials Science
2003,19,58731,Materials Science
2002,13,57322,Materials Science
2001,23,56278,Materials Science
2000,13,53243,Materials Science
2025,16522,359517,Chemistry
2024,11738,338137,Chemistry
2023,10399,319365,Chemistry
2022,8919,316868,Chemistry
2021,6782,315092,Chemistry
2020,4745,285056,Chemistry
2019,3235,288710,Chemistry
2018,2069,260683,Chemistry
2017,1414,246887,Chemistry
2016,1137,236179,Chemistry
2015,1122,229793,Chemistry
2014,1001,223948,Chemistry
2013,1099,209307,Chemistry
2012,1086,200231,Chemistry
2011,1014,193764,Chemistry
2010,945,174565,Chemistry
2009,988,171698,Chemistry
2008,930,166881,Chemistry
2007,798,158206,Chemistry
2006,757,154032,Chemistry
2005,700,144662,Chemistry
2004,652,134624,Chemistry
2003,534,125823,Chemistry
2002,458,121459,Chemistry
2001,398,116226,Chemistry
2000,329,113927,Chemistry
2025,11955,214904,Physics
2024,9376,207642,Physics
2023,8294,197718,Physics
2022,6963,197054,Physics
2021,5198,196332,Physics
2020,3487,182433,Physics
2019,1885,170971,Physics
2018,873,160852,Physics
2017,432,153494,Physics
2016,245,148767,Physics
2015,177,146122,Physics
2014,108,145518,Physics
2013,106,143369,Physics
2012,76,137131,Physics
2011,85,136776,Physics
2010,58,128901,Physics
2009,69,128581,Physics
2008,53,128764,Physics
2007,48,123379,Physics
2006,44,121104,Physics
2005,40,115135,Physics
2004,30,109284,Physics
2003,19,103039,Physics
2002,22,100043,Physics
2001,12,94596,Physics
2000,17,93737,Physics
2021,24325,116534,Computer Science
2020,18148,115165,Computer Science
2019,11113,101889,Computer Science
2018,6417,83167,Computer Science
2017,4079,74785,Computer Science
2016,3120,70858,Computer Science
2015,2479,64095,Computer Science
2014,2259,62505,Computer Science
2013,1940,59506,Computer Science
2012,1816,55311,Computer Science
2011,1772,53886,Computer Science
2010,1525,50167,Computer Science
2009,1485,48991,Computer Science
2008,1388,43633,Computer Science
2007,1156,38458,Computer Science
2006,1420,54709,Computer Science
2005,1279,54892,Computer Science
2004,1034,44902,Computer Science
2003,911,39042,Computer Science
2002,685,30689,Computer Science
2001,639,26615,Computer Science
2000,545,28392,Computer Science
2021,8684,33384,"Computer Science, Artificial Intelligence"
2020,6197,28679,"Computer Science, Artificial Intelligence"
2019,3745,23374,"Computer Science, Artificial Intelligence"
2018,2472,20518,"Computer Science, Artificial Intelligence"
2017,1764,19094,"Computer Science, Artificial Intelligence"
2016,1397,18856,"Computer Science, Artificial Intelligence"
2015,1109,16441,"Computer Science, Artificial Intelligence"
2014,1028,15930,"Computer Science, Artificial Intelligence"
2013,864,13949,"Computer Science, Artificial Intelligence"
2012,861,14389,"Computer Science, Artificial Intelligence"
2011,818,13956,"Computer Science, Artificial Intelligence"
2010,711,12801,"Computer Science, Artificial Intelligence"
2009,687,12042,"Computer Science, Artificial Intelligence"
2008,598,10089,"Computer Science, Artificial Intelligence"
2007,469,8537,"Computer Science, Artificial Intelligence"
2006,725,17533,"Computer Science, Artificial Intelligence"
2005,650,16959,"Computer Science, Artificial Intelligence"
2004,505,12632,"Computer Science, Artificial Intelligence"
2003,404,10668,"Computer Science, Artificial Intelligence"
2002,319,8295,"Computer Science, Artificial Intelligence"
2001,251,5634,"Computer Science, Artificial Intelligence"
2000,247,5790,"Computer Science, Artificial Intelligence"
2022,2328,34490,"Geosciences, Multidisciplinary"
2021,2209,42622,"Geosciences, Multidisciplinary"
2020,1419,40846,"Geosciences, Multidisciplinary"
2019,761,35994,"Geosciences, Multidisciplinary"
2018,364,32215,"Geosciences, Multidisciplinary"
2017,176,27616,"Geosciences, Multidisciplinary"
2016,108,28002,"Geosciences, Multidisciplinary"
2015,69,26893,"Geosciences, Multidisciplinary"
2014,51,24736,"Geosciences, Multidisciplinary"
2013,29,23758,"Geosciences, Multidisciplinary"
2012,24,20864,"Geosciences, Multidisciplinary"
2011,27,19961,"Geosciences, Multidisciplinary"
2010,11,19207,"Geosciences, Multidisciplinary"
2009,13,18527,"Geosciences, Multidisciplinary"
2008,17,17754,"Geosciences, Multidisciplinary"
2007,4,16720,"Geosciences, Multidisciplinary"
2006,7,16079,"Geosciences, Multidisciplinary"
2005,3,14476,"Geosciences, Multidisciplinary"
2004,2,13345,"Geosciences, Multidisciplinary"
2003,0,12224,"Geosciences, Multidisciplinary"
2002,3,11638,"Geosciences, Multidisciplinary"
2001,4,11351,"Geosciences, Multidisciplinary"
2000,0,10578,"Geosciences, Multidisciplinary"
